features,reg,F1,Precision,Recall
78.09564558,0.177243829,0.052074792,0.039584437,0.145489612
70.32308273,0.268402074,0.052242717,0.03963245,0.14443328
82.6688469,0.295133879,0.052434658,0.039821192,0.145025784
59.68982301,0.288749286,0.052922872,0.040114238,0.147303138
66.00414261,0.367530231,0.051881615,0.039430464,0.143305932
53.32612022,0.286763873,0.05192391,0.03938245,0.144538163
60.69517832,0.246582004,0.051944046,0.039485099,0.142730629
58.86693191,0.201443195,0.052293552,0.039784768,0.144112868
35.58519476,0.325649219,0.051710299,0.039286424,0.142154241
48.51987975,0.226450057,0.052057986,0.039569536,0.144012185
70.56989212,0.351143116,0.051959069,0.039551325,0.143467418
30.49714942,0.308133623,0.05177175,0.039342715,0.142833171
63.15581347,0.263315308,0.051886614,0.039478477,0.143274688
66.93434619,0.385025788,0.053006946,0.040137417,0.14732813
75.42561838,0.381882537,0.052276342,0.039586093,0.146355281
79.52556619,0.337334087,0.052205295,0.039586093,0.144184284
67.59534288,0.396207498,0.052088788,0.039442053,0.145657994
58.441632,0.381339271,0.052388253,0.039758278,0.144703561
96.73747133,0.362974201,0.052293802,0.039710265,0.144978927
39.02830542,0.239428091,0.052368092,0.039675497,0.145100887
85.3431266,0.290104277,0.052263509,0.039639073,0.145034732
18.06096338,0.328899705,0.050722235,0.038508278,0.140687724
7.509348655,0.271024408,0.048971115,0.037231788,0.134325079
92.4607991,0.046339484,0.052521482,0.039819536,0.146022043
54.97536765,0.391256778,0.051905287,0.039352649,0.144649582
19.5977593,0.101052124,0.051253213,0.038933775,0.142214497
3.758146879,0.302994256,0.048482369,0.036771523,0.134190714
37.33311965,0.191639871,0.052117209,0.039491722,0.1447252
4.367296322,0.155692899,0.049010196,0.037268212,0.133455665
31.92672717,0.22792726,0.052267331,0.039710265,0.143719453
7.207592891,0.061830244,0.048805255,0.037215232,0.133086958
88.16697673,0.332461919,0.052385354,0.039794702,0.14473508
28.24104947,0.110406117,0.051658494,0.039331126,0.142070192
97.01342839,0.3121302,0.052139365,0.039576159,0.144013996
5.836097693,0.091136062,0.049269588,0.037364238,0.135693745
7.345205388,0.24346476,0.049316305,0.037642384,0.133905572
